[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(科技发明类)[作品信息]
具有kinect视觉感知与交互式控制系统的移动助理,信息技术,河北工业大学,作品面向服务机器人领域，实现了依靠Kinect体感控制和利用Android手持设备的交互式控制移动助理。该作品通过识别人体姿态信息在“跟随”、“靠近”、“远离”三种工作模式之间切换，提供“拿包”、“送饮料”、“拖行李”、“递文件”等服务，为用户的家庭、工作和生活带来便捷，同时先进、人性化的人机交互方式为服务机器人后续开发提供了较高的平台。
基于物联网的嵌入式Web远程监控系统,信息技术,南通大学,本作品是一套集实时数据采集、智能报警和远程控制为一体的智能监控系统。整个系统分为基于ZigBee无线传感网络监测系统和以MSP430单片机作为主控制器的远程控制系统，由远程终端监测子系统、嵌入式Web服务监控中心和管理人员终端组成。系统具有低功耗性、价比高的特点，可广泛应用于大型服务器机房监控、精密空调的节电控制、路灯远程智能控制、大棚蔬菜智能灌溉控制等系统，具有较好的实际应用推广价值。
智能电容器节电装置,信息技术,天津理工大学,本成果属于电力节能应用领域，具有自己的技术核心和自主知识产权。旨在提供一种可替代现有交流功率因数补偿的新方案--即将有源功率因数校正技术与动态调节电容器补偿有机结合在一起，利用脉宽调制技术、动态调节补偿电容器，自动将交流负载的功率因数控制至0.95-1。同时采用半导体电解电容器替代现有电力电容器。本成果为适合现场使用的交流负载的功率因数自动补偿装置。
基于MEMS三轴加速度技术的地震速报装置,信息技术,江苏师范大学,地震波主要以纵波、横波、面波三种方式传播。纵波引起地面上下运动，传播速度约是横波两倍，破坏性比横波小。面波是两者相遇后激发的混合波，破坏性巨大。通过监测P波达到预警目的。使用三轴加速度传感器ADXL345实时采集震动数据，并通过微控制器MSP430F5529排除干扰，采用STA/LTA算法识别地震发生与否。该装置在地震烈度达到6度且震中距50公里以上区域预警效果较好。
一站式高温生态脱菌气体净化监控系统,信息技术,江西科技学院,通过仿真研究开发出的移动监控系统，目前应用于净化被污染的空气，并在净化过程中分离出来能够用作灭火器的二氧化碳，用作食品保鲜的氮气，用于消毒杀菌的二氧化硫以及可用于医药研究、军事科技的菌种。更重要的是，该系统工艺目标定位于净化所有气体，不仅能够净化受污染的空气，而且还能过滤沼气等其他气体，具有较高的通用性。此外，因为支持移动终端应用，最大程度地增加了受众用户，易于未来推广。
基于大数据的食品安全数据分析决策系统,信息技术,湖南农业大学,食品笔记项目（foodnote.net）以网站和手机APP（ios版和android版）为载体，用简单直观的形式呈现个人的饮食安全状况，用户只需输入个人身体和饮食数据，系统即可用百分制方式计算分数，以图形化方式分析和评估用户饮食安全、添加剂超标等情况。本项目获得国家农业部专家的肯定和推荐，新华网、新浪、搜狐、地方报纸等省内外媒体的报道，卫视台等多家电视媒体的专访，使项目的影响持续扩大。
自适应风光互补大气微尘智能化监测环保系统,信息技术,西安邮电大学,本系统采用风光互补技术进行自给供电，利用现代传感技术对空气中的细颗粒物浓度进行实时监测，运用物联网通信技术实现测量数据的远程传输及分析，并结合大容量存储技术实现数据的双重备份，实现了对空气细颗粒物浓度的全自动数据采集、传输、存储、分析，并实时将分析结果反馈给环境监管人员。测试结果表明，本系统细颗粒物浓度的测量精度可达5%，实现了数据的远程传输及分析，并可在野外环境下通过自主供电方式持续工作。
高成熟度SaaS（软件即服务）云计算平台,信息技术,西安电子科技大学,本平台支持任意联网终端，以浏览器的方式提供各类操作系统上任意软件的服务。简化了传统软件使用模式中，兼容性差、资源占用大、安装复杂、购买费用高等问题。同时，为开发者提供在本平台上的开发部署接口，便于软件产业转型。作品基于OpenStack搭建基础设施层，建设虚拟机集群作为软件实例运行平台，以网站作为服务前端为用户提供服务。本平台具有一次部署无限扩展、方便快捷、成本低廉、维护软件版权等优点。
基于物联网技术的家居机器人,信息技术,天津职业技术师范大学,针对无人照顾的孤残老人，我们设计了一款基于物联网技术的家用助老助残服务机器人。将物联网技术与机器人技术相结合，除对老人进行一些日常如取药取水、提醒吃药等必要的帮助外，集成各种娱乐功能，为老人提供音乐、广播、电子相册、对话等功能；采用触屏遥控、语音控制、手机控制等多种人机交互方式方便使用；同时具有“一键求救”等紧急求救系统和安全防范功能，为老年人、残疾人的生命安全提供可靠保障。
室内无信号源自定位导航技术,信息技术,华东师范大学,目前，室内定位与导航所采用的技术，都依赖于外部信号源。提供信号源的基础设施成本较高且一旦信号受到干扰，将无法正常提供定位与导航的功能。在此背景下，本项目自创一套以手机内置低分辨率传感器实现的定位技术。自建手机惯导数学模型，实现了误差修正并达到了每10米误差1米左右的性能，又结合矢量地图，将使用者的位移反映到带坐标的空间环境中，实现室内定位与导航。目前的成果已能满足诸如在室内停车场找车辆的应用。
移动通信基站工程参数智能采集终端及管理系统,信息技术,重庆邮电大学,目前，我国通信基站工程参数采集工作均靠人工完成，测试过程需使用大量仪器，繁琐的检测方法不但极易发生施工事故且投入大、效率低。作品首次提出移动通信基站工程参数全自动一键式采集概念，旨在提高基站检测精度及效率、降低基站运维成本。系统由两部分组成：参数采集终端和基站工程参数采集服务器。系统支持包括TD-SCDMA等制式在内的所有网络制式，功能包括参数采集、数据统计、分析、过程监管等。
基于TPM的便携式跨平台网络安全云盘,信息技术,北京理工大学,本项目研究关于涉密文件管理的解决方案，提出了基于TPM可信计算技术的硬件动态密钥联网验证方案及基于云计算技术的文件安全存储与抗攻击方案。通过自主研发低成本硬件级(<10元)的USB云盘，实现多系统全平台(手机/平板/笔记本/台式机)的无限容量硬件级文件加密与管理，本系统将非对称式加密技术与对称式加密技术有机结合，有效实现研发资料、财务报表等重要数据的随时随地安全存取与分发共享。
“高管家”移动医疗健康服务系统,信息技术,合肥学院,“高管家”移动医疗健康服务系统是一套为预防和治疗高血压慢性病，向用户提供从健康档案管理、血压参数测量记录、高血压风险评估、远程诊断、个性化用药、饮食和运动指导，以及定时提醒、急救定位等全程贴心管家式服务的健康管理系统。系统通过帮助患者正确用药和改变不良生活方式等方法，从而实现降低患者血压水平，减少心血管疾病发生概率，改善患者的生存质量。
Linux安全快速还原系统,信息技术,中国人民解放军国防科学技术大学,本作品针对通用还原技术速度慢、资源利用率低、保护不彻底等问题，以及Linux目前还没有专门的快速还原系统，发明了一种磁盘快速还原方法并设计了一款相应的还原软件。本作品提出了一种基于映射关系的存储模式、一种数据散列存储方法、一种加密措施，全部在内核态实现，达到了安全、快速还原的目标，且占用资源少。本作品方便于公共机器上Linux系统的管理和使用，应用前景广，且已应用在“麒麟操作系统”中。
