[作品信息]作品名称,院系,[类别信息]高校,(哲学社科类)[作品信息]简介
重庆市外贸企业知识产权现状调研报告,法律,重庆理工大学,本报告以重庆市知识产权优势企业、重庆市重点培育的出口知名品牌企业、重庆市外贸企业知识产权联盟常务理事单位为样本，分析重庆市外贸企业在知识产权创造、管理、运用和保护中取得的成绩以及存在的问题，深入分析其产生的原因，并提出较为切实可行的对策，以期为重庆市外贸企业知识产权综合实力的提高提供可资参考的建议。
服装自主品牌：发轫、孕育与蝶变,管理,中原工学院, 通过调查采访，探索感知郑州女裤从民营经济形态发展历史。对梦舒雅、娅丽达、逸阳等知名女裤品牌的30位高管进行了访谈，倾听他们创立经营品牌的故事，并结合行业协会和服装类高校访谈，总结郑州女裤品牌经验，为女裤行业带动河南服装纺织振兴探路，并为企业品牌提升和中原经济区建设提供参考和借鉴，为自主品牌发展和探索服装文化软实力构建探路。 
“先诊疗，后付费”建设问题研究,管理,曲阜师范大学," “先诊疗、后付费”政策虽已试点，但还未在全国推广。本调查从山东医改新变化入手，以兖州市中医院的先诊疗后付费为研究对象，调查了全省各地市部分医院。结合第一手数据及文献资料,科学分析医改对各类人群带来的影响，最后结合实际，写出调查报告。在可行性分析的基础上，重点对该政策的前景及意义和阻碍推广因素做了深刻剖析，并结合医改存在的问题给出相应对策，为该政策的的推广提供依据"
公立医院破除“以药补医”改革现状调研,管理,山东中医药大学, 长期以来，我国医疗卫生行业中落后的“以药养医”体制直接造成了药物价格的虚高。国家计划“十二五”期间全面取消“以药补医”，2012年在300个试点县先行推开。本项目在县级公立医院围绕破除”以药养医“机制进行改革的背景下，选取济南市当地不同县区的三所试点医院进行调查研究，力图进行三所医院之间及自身改革前后的综合分析比较，了解当前改革状况的成果及不足，为进一步深化改革提供参考。
关于厦门市保障性住房的问题与对策研究,管理,集美大学,"2006年厦门市大力推出保障性住房，政策实施情况良好，但仍存在一些亟待解决的问题。本组对数据采用图表, 建模，预测等手段综合运用规范分析、实证分析与比较分析方法剖析现阶段厦门市保障性住房政策的实施程度，发掘潜在问题，以创新式思维提出有利于管理层正确决策并兼顾各方利益的新概念建议与对策，并以此思考探索具有厦门特色的保障房模式和良性发展的新路径，提出具本组特色的新概念模式，创建各方利益体互赢的新局面。"
关于我国保障性住房现状的调查,管理,天津财经大学, 保障性住房是我国近年来十分重要的一项民生工程。本文基于群众满意度的视角，通过在吉林、天津等部分省市开展的社会调查，共发放调查问卷1000份。结合问卷调查、实地走访和座谈交流等多种调研形式，掌握了大量的第一手数据资料，从而对保障房配套设施不完善、物业和治安环境待加强和准入和退出机制不健全问题，根据国内外的经验，提出了相应的对策建议。
基于coupon的再制造与升级产品的生产定价问题研究,管理,北京外国语大学, 文章在市场垄断的背景下构造两阶段生产定价模型，应用凸分析和最优化分析方法证明最优策略的存在性和性质，获得最优策略的结构。引入再制造的节省成本量和产品升级的成本增加量，分析了不同情况下所对应的最优生产定价策略。
论农业科学发展战略视域下农产品品牌建设机制及其营销策略的思考,管理,重庆文理学院,本作品指出创建农产品品牌的必要性，针对农产品品牌在发展中存在的意识缺乏、科技含量低等问题，给予科学分析，从转变观念、创新设计理念，提高科技含量等方面提出科学构建一系列机制。同时创造性地提出政府应引导企业增强品牌的营销意识、打造品牌形象，利用各类媒体，扩大品牌的影响力等促进农产品品牌营销的策略，这都是为指导企业走向科学化的发展道路，为我国农业实现科学发展战略做出可具实践的创新性探索。
农民农药使用行为影响因素研究,管理,海南大学,农产品安全是保证食品安全的源头和基础，农民用药行为则是农产品安全问题的根源之一。本研究以TPB理论为分析框架，基于海南省7个市县冬季瓜菜种植农户的一手调研数据，借助SEM分析工具对农民用药行为的若干影响因素进行实证分析，研究表明行为规范是影响用药行为的主要因素；在此基础上引入政府补贴变量，探讨补贴政策如何通过影响农民安全用药意愿进而影响用药行为，从而为地方政府解决农产品安全问题提供政策参考。
网络环境下实体书店生存现状与转型路径研究,管理,上海师范大学,以上海市70家实体书店为样本，进行问卷调查与深度访谈。从实体书店行业生存现状、经营危机、转型路径三个方面撰写《网络环境下实体书店生存现状与转型路径研究——基于上海市70家实体书店的调查》，并附有针对上海市政府500万资金行业扶持的效果分析。制作《上海市实体书店实地调研图集》，收录众多书店实景照片与深度访谈记录。绘制《上海市实体书店分布简图》，对上海14个区县227家书店的类型与地理分布进行描绘。
种粮直补政策何去何从？,管理,河南财经政法大学,着眼于农业补贴政策，我们采取实地走访和电话访问相结合的调查方式，通过对一系列数据的分析总结，逐渐意识到种粮直补政策在我国农业方面存在着负面效用。该政策虽然为我国粮食生产带来了些许便利，但不足之处仍不容忽视。对此在比较分析的基础上我们提出了改进措施。
甘肃省陇西李氏文化旅游产业园总体规划,管理,西北师范大学,本作品从实际出发，结合陇西县李氏文化旅游产业发展情况，分别从陇西县李氏文化产业园区的背景、资源分析与评价、李氏文化产业发展战略与园区发展选择、园区发展的定位、战略、目标、任务、园区功能分区与项目设计、园区要素配置与产业链的打造、园区主题形象设计与营销规划、投资估算与效益分析、保障措施与支持系统分析等方面进行了系统的规划，并设计了相关的图纸。希望将其打造成华夏文明保护传承和创新发展示范区。
